ID,Category,valence_M,val_bin,val_type
Animals_039_h,Animals,2.46,2,negative
Animals_071_h,Animals,2.35,2,negative
Animals_062_h,Animals,2.49,2,negative
Animals_063_h,Animals,2.47,2,negative
Animals_018_h,Animals,3.34,3,negative
Animals_019_h,Animals,2.68,3,negative
Animals_025_h,Animals,2.65,3,negative
Animals_053_h,Animals,3.49,3,negative
Animals_066_h,Animals,4.36,4,negative
Animals_076_v,Animals,3.68,4,negative
Animals_041_h,Animals,3.52,4,negative
Animals_034_h,Animals,3.79,4,negative
Animals_211_h,Animals,5.67,6,positive
Animals_199_h,Animals,5.88,6,positive
Animals_124_v,Animals,6.37,6,positive
Animals_210_v,Animals,6.45,6,positive
Animals_109_h,Animals,7.02,7,positive
Animals_116_h,Animals,7.02,7,positive
Animals_113_h,Animals,6.92,7,positive
Animals_157_h,Animals,7.29,7,positive
Animals_187_h,Animals,7.87,8,positive
Animals_177_h,Animals,8.09,8,positive
Animals_166_v,Animals,8.27,8,positive
Animals_220_h,Animals,8.02,8,positive
Faces_284_h,Faces,2.43,2,negative
Faces_172_h,Faces,2.45,2,negative
Faces_009_h,Faces,2.48,2,negative
Faces_283_h,Faces,2.48,2,negative
Faces_150_h,Faces,3.34,3,negative
Faces_007_h,Faces,2.87,3,negative
Faces_291_h,Faces,3.08,3,negative
Faces_164_h,Faces,3.18,3,negative
Faces_157_h,Faces,4.25,4,negative
Faces_169_v,Faces,4.47,4,negative
Faces_270_h,Faces,3.56,4,negative
Faces_288_h,Faces,3.51,4,negative
Faces_355_h,Faces,6.08,6,positive
Faces_245_v,Faces,6.47,6,positive
Faces_207_h,Faces,5.96,6,positive
Faces_049_h,Faces,5.72,6,positive
Faces_086_v,Faces,7.25,7,positive
Faces_129_h,Faces,6.96,7,positive
Faces_249_v,Faces,6.75,7,positive
Faces_130_h,Faces,7.38,7,positive
Faces_050_h,Faces,7.65,8,positive
Faces_100_h,Faces,7.53,8,positive
Faces_104_h,Faces,7.55,8,positive
Faces_063_v,Faces,7.55,8,positive
Landscapes_026_h,Landscapes,2.48,2,negative
Landscapes_139_h,Landscapes,2.43,2,negative
Landscapes_005_h,Landscapes,3.13,3,negative
Landscapes_029_v,Landscapes,3.3,3,negative
Landscapes_004_h,Landscapes,3.1,3,negative
Landscapes_002_h,Landscapes,2.8,3,negative
Landscapes_022_h,Landscapes,2.75,3,negative
Landscapes_010_h,Landscapes,3.29,3,negative
Landscapes_027_v,Landscapes,4.43,4,negative
Landscapes_078_h,Landscapes,4.5,4,negative
Landscapes_070_h,Landscapes,3.96,4,negative
Landscapes_068_h,Landscapes,3.58,4,negative
Landscapes_083_h,Landscapes,5.76,6,positive
Landscapes_051_h,Landscapes,6.29,6,positive
Landscapes_101_v,Landscapes,6.39,6,positive
Landscapes_095_h,Landscapes,6.46,6,positive
Landscapes_048_h,Landscapes,6.74,7,positive
Landscapes_173_h,Landscapes,7.43,7,positive
Landscapes_114_v,Landscapes,7.21,7,positive
Landscapes_148_h,Landscapes,7.28,7,positive
Landscapes_166_h,Landscapes,7.56,8,positive
Landscapes_185_v,Landscapes,7.86,8,positive
Landscapes_183_h,Landscapes,8.31,8,positive
Landscapes_123_h,Landscapes,8.15,8,positive
Objects_003_h,Objects,2.39,2,negative
Objects_283_h,Objects,2.62,3,negative
Objects_158_h,Objects,3.45,3,negative
Objects_007_h,Objects,2.98,3,negative
Objects_285_h,Objects,2.73,3,negative
Objects_132_h,Objects,2.88,3,negative
Objects_154_h,Objects,3.32,3,negative
Objects_157_h,Objects,2.93,3,negative
Objects_137_h,Objects,3.87,4,negative
Objects_159_v,Objects,4.17,4,negative
Objects_123_h,Objects,3.66,4,negative
Objects_253_v,Objects,3.64,4,negative
Objects_087_h,Objects,5.86,6,positive
Objects_178_v,Objects,5.7,6,positive
Objects_320_h,Objects,6.38,6,positive
Objects_302_h,Objects,5.65,6,positive
Objects_052_h,Objects,7,7,positive
Objects_260_h,Objects,6.75,7,positive
Objects_076_v,Objects,7.25,7,positive
Objects_183_h,Objects,6.69,7,positive
Objects_327_h,Objects,7.67,8,positive
Objects_084_v,Objects,7.81,8,positive
Objects_080_h,Objects,7.55,8,positive
Objects_077_h,Objects,7.71,8,positive
People_140_h,People,2.42,2,negative
People_020_h,People,2.43,2,negative
People_225_h,People,2.5,2,negative
People_233_h,People,2.47,2,negative
People_202_h,People,2.58,3,negative
People_001_h,People,2.69,3,negative
People_008_h,People,2.72,3,negative
People_017_h,People,2.96,3,negative
People_126_h,People,3.55,4,negative
People_210_h,People,3.84,4,negative
People_034_h,People,4.29,4,negative
People_141_h,People,4.15,4,negative
People_138_h,People,5.92,6,positive
People_153_h,People,6.43,6,positive
People_114_h,People,5.89,6,positive
People_027_h,People,6.18,6,positive
People_106_v,People,6.76,7,positive
People_168_h,People,7.39,7,positive
People_180_h,People,7.06,7,positive
People_171_v,People,6.93,7,positive
People_054_h,People,7.55,8,positive
People_110_h,People,8.11,8,positive
People_185_h,People,7.63,8,positive
People_174_v,People,7.52,8,positive
